Spectrum,Weighted_Mean_Age,Bootstrap_Uncertainty
sn2000dl-20000921.41-fast_snid,22.26,1.24
sn2003fa-20030623.33-fast_snid,-0.21,0.15
sn2002bz-20020513.20-fast_snid,22.68,1.11
sn1998co-19980624.45-fast_snid,-0.56,0.17
sn2008Q-20080208.14-fast_snid,-1.45,0.16
sn2008Y-20080209.41-fast_snid,-0.36,0.16
sn1996ac-19960524.19-fast_snid,22.60,0.54
sn1995E-19950226.27-fast_snid,-1.41,0.15
sn1997bq-19970411.13-fast_snid,-1.04,0.18
sn2006oa-20061127.10-fast_snid,-1.13,0.20
sn2008Z-20080313.36-fast_snid,27.74,0.87
sn2003kf-20040318.12-fast_snid,82.50,3.97
sn1998es-19981225.14-fast_snid,32.32,0.43
sn1999cc-19990517.40-fast_snid,-1.05,0.16
sn2002fk-20021114.27-fast_snid,35.81,0.49
sn2003iu-20031022.36-fast_snid,4.61,0.28
sn1999dq-19990915.45-fast_snid,-1.44,0.16
sn2007kk-20071031.34-fast_snid,24.98,0.59
sn1999bv-19990421.49-fast_snid,62.94,2.61
sn1996Z-19960528.16-fast_snid,20.73,0.70
sn2003ic-20030919.40-fast_snid,-1.12,0.28
sn2004bp-20040511.21-fast_snid,21.30,1.16
sn1999ac-19990310.53-fast_snid,-1.09,0.17
sn2001V-20010326.47-mmt_snid,26.68,0.70
sn2001ie-20011223.55-fast_snid,23.48,0.58
sn1999by-19990611.16-fast_snid,33.73,0.73
sn2006le-20061101.43-fast_snid,-2.92,0.24
sn1999ac-19990309.53-fast_snid,-1.25,0.16
sn1999ej-19991104.27-fast_snid,-0.19,0.17
sn2002bf-20020318.24-fast_snid,14.26,0.27
sn2005cf-20050617.23-fast_snid,-1.01,0.16
sn2003du-20030523.22-fast_snid,22.68,0.79
sn2007sr-20080410.30-fast_snid,100.08,5.66
sn2006gr-20060929.13-fast_snid,-1.83,0.19
sn2002cd-20020421.49-fast_snid,-0.18,0.20
sn1995al-19951124.53-fast_snid,16.97,0.51
sn1996bv-19970102.33-fast_snid,36.47,0.54
sn2001L-20010119.46-fast_snid,7.39,0.21
sn2007if-20071014.34-fast_snid,33.70,0.50
sn1997bp-19970604.20-fast_snid,33.95,1.02
sn2005bl-20050416.34-fast_snid,-1.44,0.29
sn1997br-19970609.18-fast_snid,36.39,0.53
sn2004at-20040319.24-fast_snid,-2.72,0.18
sn2006cp-20060723.17-fast_snid,34.50,0.51
sn2002eu-20021104.34-mmt_snid,37.26,0.89
sn2007sr-20071229.53-fast_snid,15.91,0.45
sn2003cq-20030411.25-fast_snid,-0.52,0.17
sn1998dh-19980730.44-fast_snid,-1.58,0.15
sn1997cn-19970529.27-fast_snid,16.21,1.41
sn2006cp-20060601.26-fast_snid,-2.48,0.18
sn2005bo-20050418.21-fast_snid,-0.89,0.16
sn2003gq-20030729.39-fast_snid,2.73,0.82
sn2001V-20010325.40-mmt_snid,26.83,0.63
sn1998ab-19980502.26-fast_snid,30.49,0.51
sn2001V-20010318.47-fast_snid,15.81,0.62
sn1999bt-19990414.49-fast_snid,24.31,1.40
sn2001ay-20010530.37-fast_snid,31.01,0.39
sn2006lf-20061115.42-fast_snid,9.68,0.28
sn1999dq-19991002.47-fast_snid,22.42,0.69
sn2004at-20040324.32-fast_snid,-2.31,0.18
sn2002bo-20020408.20-fast_snid,19.89,0.57
sn2006gr-20061002.26-fast_snid,-1.63,0.19
sn2005hf-20051030.22-fast_snid,11.67,1.48
sn1998cs-19980723.26-fast_snid,12.04,0.43
sn2008C-20080111.32-mmt_snid,13.72,0.40
sn2002cs-20020519.39-fast_snid,-1.28,0.16
sn1999ac-19990515.38-fast_snid,39.27,0.62
sn2002hu-20021110.31-fast_snid,-1.86,0.14
sn2001ie-20011225.55-fast_snid,25.85,0.53
sn2002bz-20020505.35-fast_snid,29.72,0.40
sn2003ia-20030928.10-fast_snid,26.73,0.42
sn2001fh-20011107.20-fast_snid,-1.85,0.16
sn2002av-20020213.19-fast_snid,4.67,0.19
sn2005cf-20050728.19-fast_snid,35.62,0.47
sn1996ai-19960620.15-mmt_snid,-1.56,0.16
sn2004bk-20040424.32-fast_snid,1.65,0.20
sn1997E-19970302.13-fast_snid,35.58,0.47
sn2006S-20060128.50-fast_snid,-1.75,0.19
sn2000cp-20000622.28-fast_snid,-1.21,0.16
sn2006X-20060306.42-fast_snid,15.91,0.44
sn2007fs-20071010.22-fast_snid,51.33,1.95
sn2005eu-20051027.36-fast_snid,7.97,0.28
sn2000bk-20000425.20-fast_snid,22.54,0.48
sn2003ch-20030329.11-mmt_snid,-0.62,0.16
sn2001fh-20011109.10-fast_snid,-1.77,0.16
sn2006cj-20060523.33-fast_snid,-1.13,0.18
sn2008Q-20080202.11-fast_snid,-1.89,0.19
sn2004at-20040321.26-fast_snid,-2.72,0.18
sn2003kd-20040118.26-mmt_snid,27.42,1.52
sn2007fb-20070910.35-fast_snid,45.53,1.41
sn2002dl-20020619.45-fast_snid,-1.68,0.17
sn2004dt-20040908.49-fast_snid,16.05,0.32
sn2002dp-20020718.47-fast_snid,31.52,0.41
sn1996ca-19970102.09-fast_snid,23.14,0.66
sn1997bq-19970413.22-fast_snid,-1.11,0.18
sn1998dm-19980910.42-fast_snid,-0.07,0.15
sn2008Z-20080214.34-fast_snid,-1.59,0.21
sn2002bo-20020514.17-fast_snid,39.21,0.73
sn2000ce-20000510.15-fast_snid,1.26,0.17
sn1996ai-19960623.27-fast_snid,0.76,0.19
sn2000dp-20001004.40-fast_snid,-1.17,0.15
sn2001iq-20020122.09-fast_snid,28.44,0.54
sn2008bf-20080412.30-fast_snid,20.87,1.18
sn1997cn-19970607.18-fast_snid,29.40,0.37
sn2002ha-20021208.13-fast_snid,32.65,0.39
sn2007le-20071106.14-fast_snid,12.28,0.29
sn1999bh-19990409.27-fast_snid,10.31,0.34
sn2005cc-20050615.18-fast_snid,26.38,0.48
sn1998es-19981213.18-fast_snid,23.43,0.81
sn2007sw-20080103.52-fast_snid,-0.72,0.17
sn2001N-20010202.47-fast_snid,13.56,0.38
sn2006bt-20060519.28-fast_snid,22.18,0.59
sn2001da-20010718.45-fast_snid,-0.40,0.17
sn2007kk-20071007.38-fast_snid,-1.09,0.16
sn2005am-20050314.23-fast_snid,5.18,0.20
sn1994D-19940519.18-fast_snid,48.12,1.31
sn2007co-20070621.33-fast_snid,4.55,0.19
sn2001L-20010222.42-fast_snid,26.60,0.81
sn2002ha-20021205.09-fast_snid,29.42,0.39
sn2006cp-20060721.18-fast_snid,33.86,0.52
sn2002bo-20020520.14-fast_snid,46.43,0.93
sn2003ic-20031017.23-fast_snid,22.13,1.87
sn2007af-20070412.45-fast_snid,31.42,0.39
sn2002bo-20020311.23-fast_snid,-1.44,0.25
sn2002bo-20020611.15-fast_snid,47.54,1.69
sn1996bl-19961016.29-fast_snid,-1.00,0.16
sn2005na-20060126.39-fast_snid,31.43,0.60
sn2001G-20010315.19-fast_snid,35.06,0.76
sn2007cq-20070625.45-fast_snid,-1.59,0.26
sn2006oa-20061119.16-fast_snid,-4.65,0.28
sn2002do-20020710.33-fast_snid,27.47,0.58
sn1997cn-19970602.36-fast_snid,25.86,0.45
sn2005cf-20050710.21-fast_snid,31.43,0.38
sn2003kf-20031129.41-fast_snid,-2.17,0.18
sn2007if-20070915.46-fast_snid,17.83,0.81
sn1996ai-19960716.18-fast_snid,33.25,0.59
sn1999gp-20000129.10-fast_snid,24.14,0.64
sn2002es-20020912.46-fast_snid,25.46,0.77
sn1997dt-19971124.09-fast_snid,-1.80,0.16
sn1999gh-20000104.45-fast_snid,33.86,0.44
sn2002hu-20021113.25-fast_snid,-1.60,0.15
sn1996Z-19960606.17-fast_snid,31.59,0.97
sn2006E-20060126.53-fast_snid,41.64,0.74
sn2002dl-20020707.43-fast_snid,22.77,0.63
sn2003it-20031028.34-fast_snid,-0.11,0.17
sn1998bp-19980528.47-fast_snid,28.86,0.38
sn2007af-20080111.53-mmt_snid,216.86,10.47
sn2003ic-20031001.32-fast_snid,7.40,0.39
sn2001V-20010326.24-fast_snid,25.10,0.64
sn2005am-20050318.18-fast_snid,16.55,0.44
sn2001gb-20011217.45-fast_snid,31.77,0.41
sn2007qe-20071229.14-fast_snid,33.08,0.51
sn2006ac-20060324.36-fast_snid,32.32,0.46
sn1998aq-19980528.22-fast_snid,31.76,0.37
sn2005am-20050321.20-fast_snid,24.07,0.57
sn2003fd-20030704.21-mmt_snid,23.25,0.82
sn1999dq-19991112.31-fast_snid,35.47,0.59
sn1994ae-19950131.40-fast_snid,48.42,1.17
sn2003du-20030426.34-fast_snid,-1.99,0.17
sn2005ls-20051221.22-fast_snid,11.82,0.32
sn2007kk-20071011.36-fast_snid,-0.52,0.16
sn2007sw-20080101.46-fast_snid,-1.09,0.18
sn1994ae-19950206.45-fast_snid,53.70,1.34
sn2003it-20031026.25-fast_snid,-0.94,0.16
sn2003kf-20031226.38-fast_snid,22.73,0.78
sn1998co-19980623.45-fast_snid,-0.84,0.16
sn2006le-20061227.32-fast_snid,37.21,0.71
sn2002bz-20020405.37-fast_snid,-1.10,0.15
sn1999cm-19990611.28-fast_snid,-0.84,0.16
sn2002et-20020906.30-fast_snid,31.13,3.06
sn2006le-20061114.38-fast_snid,0.46,0.18
sn2006al-20060227.42-fast_snid,0.97,0.16
sn2000dk-20001005.33-fast_snid,19.36,0.57
sn1995D-19950224.30-fast_snid,-1.02,0.16
sn2000dg-20000902.38-fast_snid,-0.70,0.16
sn2001ck-20010627.22-fast_snid,19.38,0.71
sn1995E-19950303.16-fast_snid,-0.11,0.16
sn2006bt-20060505.27-fast_snid,-1.22,0.19
sn2002av-20020212.19-fast_snid,1.95,0.18
sn1998dh-19980728.40-fast_snid,-1.60,0.15
sn2001G-20010216.31-fast_snid,30.16,0.59
sn2002fk-20021007.45-fast_snid,-0.65,0.16
sn1997bp-19970407.42-mmt_snid,-1.73,0.19
sn2001en-20011020.29-fast_snid,10.60,0.19
sn2004as-20040318.36-fast_snid,-1.42,0.17
sn2001G-20010227.22-fast_snid,33.31,0.43
sn2006lf-20061227.29-fast_snid,45.41,0.83
sn2000cx-20000919.38-fast_snid,39.83,1.40
sn2005cc-20050601.23-fast_snid,11.43,0.73
sn2007co-20070618.35-fast_snid,0.52,0.17
sn2000fo-20010101.08-fast_snid,3.93,0.22
sn2001fe-20011122.48-fast_snid,0.84,0.20
sn1995D-19950304.34-fast_snid,15.04,0.77
sn2008C-20080113.28-fast_snid,17.59,0.50
sn2004L-20040127.40-fast_snid,-0.41,0.16
sn2003kf-20031227.42-fast_snid,23.50,0.79
snf20080522-000-20080611.21-fast_snid,1.75,0.38
sn1995D-19950302.30-fast_snid,6.14,0.25
sn1997do-19971102.46-fast_snid,-2.20,0.19
sn2002G-20020120.53-fast_snid,-0.88,0.17
sn2001bf-20010517.48-fast_snid,-2.36,0.17
sn1999cc-19990610.37-fast_snid,30.33,0.39
sn2007bd-20070415.20-fast_snid,-1.19,0.15
sn2003kd-20031130.27-fast_snid,-0.76,0.16
sn1998dk-19981024.26-fast_snid,35.27,1.03
sn1994D-19940405.34-fast_snid,24.91,0.73
sn2003fd-20030623.22-fast_snid,2.29,0.21
sn2002ey-20021104.28-mmt_snid,41.90,0.97
sn2003dt-20030505.46-fast_snid,75.98,7.06
sn2003ch-20030328.14-fast_snid,-1.26,0.16
sn2007fb-20070711.41-fast_snid,-0.36,0.16
sn2005cf-20050616.19-fast_snid,-1.34,0.16
sn2003eh-20030522.15-fast_snid,1.82,0.24
sn2000dn-20000929.29-fast_snid,-1.84,0.16
sn2002fb-20021104.41-mmt_snid,54.23,1.66
sn1998dh-19980801.40-fast_snid,-1.47,0.15
sn2008ae-20080214.32-fast_snid,12.81,1.00
sn2007co-20070622.38-fast_snid,7.71,0.20
sn2002cr-20020506.25-fast_snid,-1.95,0.16
sn2003ag-20030209.41-fast_snid,-1.96,0.16
sn2007A-20070117.11-fast_snid,-0.55,0.16
sn2006oa-20061118.16-fast_snid,-5.23,0.39
sn2007cq-20070624.45-fast_snid,-2.10,0.27
sn2000fa-20001215.36-fast_snid,-1.35,0.16
sn2007le-20071204.12-fast_snid,33.99,0.53
sn1999ej-19991109.26-fast_snid,8.89,0.17
sn2005na-20060104.34-fast_snid,-0.98,0.17
sn2000cn-20000623.34-fast_snid,23.13,0.57
sn1998es-19981212.18-fast_snid,23.00,0.90
sn2006ap-20060304.52-fast_snid,22.96,0.61
sn1999by-19990605.17-fast_snid,29.40,0.57
sn2004bg-20040411.39-fast_snid,-2.16,0.16
sn2002de-20020614.19-fast_snid,-1.57,0.21
sn2004fd-20041113.33-fast_snid,26.48,0.60
sn1999gh-20000106.45-fast_snid,34.55,0.44
sn2002hw-20021208.15-fast_snid,30.99,0.40
sn1999gp-20000112.09-fast_snid,-0.20,0.16
sn2003M-20030129.51-mmt_snid,12.54,2.99
sn2004fu-20041209.10-fast_snid,30.71,0.43
sn2002es-20020910.46-fast_snid,25.84,0.73
sn2008ar-20080404.46-fast_snid,31.70,0.40
sn2001gb-20011222.52-fast_snid,30.73,0.38
snf20080514-002-20080623.00-ldss3_snid,30.38,0.36
sn1999dq-19990912.51-fast_snid,-2.32,0.23
sn2003fa-20030706.28-fast_snid,27.39,1.34
sn2002er-20020912.11-fast_snid,0.30,0.17
sn2007sr-20080103.53-fast_snid,23.76,0.61
sn2002cd-20020611.45-fast_snid,44.92,1.24
sn1998bu-19980627.20-fast_snid,34.65,0.55
sn2000dn-20001123.13-fast_snid,36.46,0.49
sn2004dt-20040911.42-fast_snid,26.47,0.49
sn2005eq-20051009.42-fast_snid,-1.33,0.23
sn2000cx-20000903.38-fast_snid,35.63,0.69
sn2004fu-20041113.16-fast_snid,-2.06,0.17
sn2002de-20020610.28-fast_snid,-1.17,0.18
sn1999aa-19990324.18-fast_snid,32.43,0.45
sn2000fa-20001218.38-fast_snid,-0.33,0.17
sn2001ep-20011020.44-fast_snid,0.27,0.16
sn2007S-20070210.32-fast_snid,-1.25,0.21
sn2002bo-20030129.39-mmt_snid,200.55,14.48
sn2004gs-20041213.44-fast_snid,-0.29,0.18
sn2005cc-20050617.18-fast_snid,26.48,0.48
sn1999aa-19990309.25-fast_snid,21.37,1.14
sn1999cw-19990720.46-fast_snid,31.33,0.53
sn2006gt-20060925.36-fast_snid,-0.44,0.16
sn2007ob-20071108.21-fast_snid,10.00,0.50
sn2000fa-20001216.36-fast_snid,-1.27,0.16
sn2008as-20080301.33-fast_snid,28.89,0.46
snf20080522-011-20080603.26-fast_snid,-0.66,0.15
sn2008Z-20080407.24-fast_snid,39.25,0.89
sn2002dp-20020705.43-fast_snid,11.46,0.32
sn1998V-19980429.50-fast_snid,35.23,0.46
sn2004bd-20040419.28-fast_snid,29.02,0.37
sn2002fk-20021008.40-fast_snid,0.83,0.17
sn2003kf-20031225.38-fast_snid,20.85,0.76
sn2001bf-20010524.44-fast_snid,6.41,0.27
sn1995al-19960115.35-fast_snid,42.92,1.25
sn1996bl-19961108.24-fast_snid,23.51,0.71
sn1997bq-19970531.18-fast_snid,34.14,0.52
sn1999cp-19990620.28-fast_snid,-1.71,0.18
sn2002bo-20020321.24-fast_snid,-0.68,0.15
sn1999cl-19990609.24-fast_snid,-0.56,0.17
sn2008ar-20080505.21-fast_snid,36.95,0.55
sn2003du-20030505.30-fast_snid,-2.01,0.15
sn2008af-20080211.48-fast_snid,2.29,0.19
sn1996X-19960426.28-fast_snid,6.16,0.19
sn2005bv-20050430.37-fast_snid,24.54,0.75
sn2004J-20040127.20-fast_snid,17.49,3.03
sn2001ay-20010426.34-fast_snid,0.35,0.34
sn2007fb-20070707.44-fast_snid,-1.53,0.16
sn1997br-19970413.32-fast_snid,-7.42,0.34
sn2000ce-20000512.15-fast_snid,4.62,0.18
sn1998dm-19980911.33-fast_snid,0.54,0.16
sn2003ep-20030628.44-fast_snid,27.83,1.46
sn2002av-20020215.16-fast_snid,7.04,0.19
sn1999aa-19990215.28-fast_snid,-6.40,0.34
sn2004gz-20050114.53-fast_snid,32.16,0.40
sn2002cs-20020603.34-fast_snid,26.17,0.49
sn2001ie-20011212.49-fast_snid,0.20,0.17
sn2006le-20061116.42-fast_snid,3.33,0.20
sn2007hu-20070911.14-fast_snid,-1.67,0.18
sn2006ot-20061124.23-fast_snid,-0.29,0.20
sn1997bp-19970412.31-fast_snid,-0.50,0.18
snf20080623-001-20080630.31-fast_snid,-1.81,0.16
sn2007fb-20070720.46-fast_snid,23.15,0.75
sn1997dt-19971123.19-fast_snid,-1.59,0.18
sn1998de-19980729.50-fast_snid,-0.03,0.28
sn2007F-20070309.39-fast_snid,34.29,0.54
sn1999cf-19990610.29-fast_snid,9.81,0.17
sn2001gc-20020108.25-fast_snid,25.93,1.46
sn1998V-19980331.48-fast_snid,17.73,0.59
sn2003fa-20030703.38-fast_snid,24.50,1.05
sn2001V-20010424.23-fast_snid,34.88,0.59
sn1997do-19971129.55-fast_snid,17.05,0.44
sn1994S-19940616.24-fast_snid,-1.67,0.15
sn2003cq-20030427.22-fast_snid,26.72,0.53
sn1997Y-19970210.40-fast_snid,-0.79,0.16
sn2006hb-20060930.50-fast_snid,2.95,0.22
sn2001bs-20010524.37-fast_snid,-1.00,-1.00
sn1995Y-19950919.33-fast_snid,34.47,0.44
sn2005eu-20051025.29-fast_snid,3.89,0.35
sn1998aq-19981224.54-fast_snid,203.45,9.89
sn2001V-20010422.38-fast_snid,34.03,0.56
sn2006ac-20060226.34-fast_snid,13.64,0.31
sn1998aq-19980602.23-fast_snid,33.02,0.40
sn2005cf-20050629.31-fast_snid,25.67,0.70
sn2004bg-20040425.25-fast_snid,10.87,0.33
snf20080522-000-20080531.21-fast_snid,-6.39,0.30
sn2001fh-20011120.08-fast_snid,11.10,0.27
sn2007ao-20070320.47-fast_snid,0.78,0.92
sn1999aa-19990411.22-fast_snid,34.66,0.48
sn2007kd-20071006.51-fast_snid,30.58,0.57
sn2004as-20040324.34-fast_snid,0.34,0.19
sn2008Z-20080401.17-mmt_snid,32.90,0.57
sn2005am-20050317.23-fast_snid,12.96,0.27
sn2005ch-20050610.28-fast_snid,-1.54,0.18
sn2002bf-20020311.21-fast_snid,6.09,0.25
sn2006cj-20060529.26-fast_snid,0.54,0.29
sn2004ef-20041012.14-fast_snid,30.89,0.35
sn1998bn-19980518.18-fast_snid,25.81,0.62
sn2005ao-20050315.51-fast_snid,0.27,0.19
sn2003cg-20030403.18-fast_snid,-0.51,0.17
sn2005bv-20050502.32-fast_snid,26.72,0.63
sn2001V-20010220.29-fast_snid,-5.10,0.50
sn2003fd-20030627.18-fast_snid,19.65,1.60
sn2007oo-20071107.34-fast_snid,-3.13,0.24
sn2003ia-20030919.17-fast_snid,26.14,0.48
sn2001ep-20011214.32-fast_snid,39.77,0.64
sn2000bh-20000427.24-fast_snid,30.53,0.52
sn2005hk-20051107.23-fast_snid,-1.57,0.82
sn2006H-20060130.16-fast_snid,25.31,0.54
sn2008ae-20080210.36-fast_snid,-0.24,0.81
sn2005hk-20051101.19-fast_snid,-7.47,0.75
sn1999gp-20000107.13-fast_snid,-1.21,0.17
sn2004H-20040127.46-fast_snid,26.27,0.52
sn2005kc-20051209.08-fast_snid,27.37,0.61
sn2007ae-20070226.53-fast_snid,-0.41,0.20
sn2008bf-20080330.31-fast_snid,-1.69,0.17
sn2003kf-20040102.42-fast_snid,29.82,0.58
sn2001cp-20010715.25-fast_snid,19.97,0.80
sn1996bl-19961103.25-fast_snid,18.25,0.64
sn2005cf-20050603.29-fast_snid,-2.48,0.23
sn2001en-20011022.29-fast_snid,15.62,0.49
sn2003iu-20031021.32-fast_snid,2.57,0.23
sn2001C-20010316.14-fast_snid,39.69,1.24
sn2007bc-20070417.36-fast_snid,7.10,0.19
sn2002ck-20020503.34-fast_snid,-1.26,0.15
sn1995D-19950426.14-fast_snid,43.60,0.93
sn2003cg-20030328.26-fast_snid,-1.61,0.16
sn2002ar-20020212.44-fast_snid,-0.26,0.17
sn2006H-20060127.26-fast_snid,26.90,0.51
sn1997bp-19970413.31-fast_snid,-0.09,0.19
sn1998dh-19980914.36-fast_snid,34.76,0.43
sn2004fu-20041120.11-fast_snid,-0.79,0.17
sn2003fa-20030630.22-fast_snid,22.78,1.48
sn2007bm-20070612.17-fast_snid,33.85,0.42
sn1994M-19940504.15-fast_snid,-1.53,0.17
sn2005eq-20051012.33-fast_snid,-1.13,0.17
sn2003hz-20030919.50-fast_snid,2.08,0.17
sn2001iq-20020121.09-fast_snid,27.08,0.97
sn1998ec-19981023.48-fast_snid,23.61,0.60
sn1998aq-19980501.25-fast_snid,-1.34,0.16
sn2001N-20010124.39-fast_snid,1.18,0.23
sn2002ci-20020421.42-fast_snid,0.07,0.17
sn2006te-20070109.49-fast_snid,22.88,1.58
sn2007F-20070415.31-fast_snid,58.49,2.21
sn2002bo-20020412.24-fast_snid,26.89,0.63
sn2008Z-20080211.30-fast_snid,-1.52,0.24
sn2007af-20070512.29-fast_snid,42.12,0.73
sn2001ep-20011122.28-fast_snid,31.33,0.39
sn2007bz-20070512.31-fast_snid,21.60,1.15
sn2000fa-20001223.35-fast_snid,8.62,0.20
sn2007kk-20071015.32-fast_snid,1.27,0.18
sn1998ec-19981111.52-fast_snid,35.69,0.50
sn1994Q-19940604.39-fast_snid,14.50,0.47
sn1999cl-19990608.24-fast_snid,-0.69,0.17
sn1998ab-19980518.22-fast_snid,30.40,0.37
sn2000dg-20000906.43-fast_snid,1.87,0.18
sn2003kc-20031126.54-fast_snid,-0.85,0.18
sn2002bs-20020403.34-fast_snid,6.74,0.17
sn1997bq-19970606.18-fast_snid,36.76,0.61
sn2007ki-20071006.50-fast_snid,27.30,0.93
sn2003W-20030204.27-fast_snid,-1.32,0.17
sn2001ay-20010525.38-fast_snid,31.50,0.40
sn2006N-20060126.32-fast_snid,-0.98,0.16
sn1995ac-19951028.23-fast_snid,32.63,0.48
sn2008bf-20080501.22-fast_snid,31.84,0.45
sn2001G-20010525.18-mmt_snid,58.83,3.64
sn2007kk-20071014.37-fast_snid,0.36,0.17
sn1997bp-19970429.26-fast_snid,15.76,0.34
sn2006az-20060331.37-fast_snid,-0.81,0.16
sn2001az-20010618.39-mmt_snid,34.65,0.60
sn1994ae-19941202.53-fast_snid,-0.84,0.15
sn2001bp-20010618.36-mmt_snid,34.27,0.44
sn1997by-19970430.30-fast_snid,-1.05,0.16
sn1996X-19960419.30-fast_snid,-1.15,0.16
sn2007cp-20070619.20-fast_snid,-0.42,0.15
sn1998dh-19980727.40-fast_snid,-1.59,0.15
sn2002ck-20020602.23-fast_snid,32.94,0.39
sn2006le-20061111.39-fast_snid,-1.13,0.17
sn2007al-20070318.25-fast_snid,6.74,1.08
sn2004L-20040216.35-fast_snid,29.83,0.39
sn2000fa-20010101.42-fast_snid,20.21,0.59
sn1999aa-19990217.26-fast_snid,-4.56,0.38
sn2008ae-20080226.41-fast_snid,28.05,0.54
sn2000cx-20001029.29-fast_snid,122.08,8.74
sn1994T-19940613.19-fast_snid,0.68,0.20
sn2003iu-20031020.37-fast_snid,1.29,0.19
sn2006br-20060430.18-fast_snid,0.59,0.19
sn2005bd-20050409.15-fast_snid,9.54,0.15
sn1995E-19950228.23-fast_snid,-1.27,0.16
sn2003hu-20030927.14-fast_snid,1.75,0.24
sn1996X-19960416.44-fast_snid,-1.57,0.16
sn2007rx-20071218.16-fast_snid,6.93,0.52
sn2003kz-20031219.51-fast_snid,32.24,0.39
sn2008ai-20080228.36-fast_snid,28.89,0.49
sn2008ar-20080302.40-fast_snid,-2.68,0.20
sn2006sr-20070110.12-fast_snid,25.57,0.56
sn1999aa-19990219.28-fast_snid,-2.51,0.34
sn2004B-20040116.19-fast_snid,24.12,0.62
sn2000fo-20010104.09-fast_snid,13.09,0.21
sn2006le-20061220.38-fast_snid,34.69,0.59
sn1996C-19960220.40-fast_snid,0.06,0.16
sn2007af-20070620.18-fast_snid,65.15,2.24
sn1997bp-19970414.30-fast_snid,0.64,0.22
sn2003U-20030206.55-fast_snid,-1.63,0.16
sn1998es-19990223.12-fast_snid,47.93,1.67
sn1998ab-19980504.28-fast_snid,31.46,0.48
sn2007kk-20071109.40-fast_snid,32.14,0.45
sn2001bf-20010714.27-fast_snid,39.41,0.95
sn2005lu-20051227.18-fast_snid,17.19,0.39
sn2000cx-20000803.45-fast_snid,2.36,0.90
sn1999ac-19990423.46-fast_snid,31.05,0.43
sn2006lf-20061116.39-fast_snid,12.88,0.35
sn1999dq-19991102.35-fast_snid,36.84,0.55
sn2001V-20010324.21-fast_snid,23.07,0.71
sn2007if-20071010.31-fast_snid,33.66,0.60
sn2003cg-20030330.23-fast_snid,-1.45,0.16
sn2004at-20040330.22-fast_snid,-1.49,0.16
sn2003jz-20031120.50-fast_snid,34.57,0.92
sn2001eh-20011024.26-fast_snid,33.00,0.39
sn1999aa-19990223.25-fast_snid,-1.68,0.17
sn2006bt-20060501.39-fast_snid,-1.78,0.19
sn1996ca-19961218.09-fast_snid,-0.83,0.15
sn2002kf-20030129.28-mmt_snid,30.73,0.37
sn1996bo-19961107.15-fast_snid,9.47,0.21
sn2006al-20060226.29-fast_snid,0.59,0.18
sn2006dv-20060725.43-fast_snid,-0.09,0.16
sn1998bu-19980531.18-fast_snid,16.46,0.65
sn2007sr-20080301.37-fast_snid,45.58,1.62
sn2007af-20070309.47-fast_snid,-1.86,0.17
sn2002cu-20020515.46-fast_snid,-2.42,0.18
sn2002kf-20021231.34-fast_snid,-1.92,0.16
sn2002bf-20020310.24-fast_snid,3.72,0.27
sn2004bc-20040412.25-fast_snid,-0.29,0.23
sn1999aa-19990322.27-fast_snid,31.81,0.50
sn1994Q-19940606.37-fast_snid,18.21,0.59
sn2006bz-20060507.22-fast_snid,-1.32,0.34
sn2002fk-20021226.27-fast_snid,71.40,1.91
sn2006al-20060228.38-fast_snid,2.23,0.19
sn2007kk-20071012.49-fast_snid,-0.27,0.16
sn1995ak-19951222.23-fast_snid,55.09,1.95
sn1999gd-19991208.52-fast_snid,-0.54,0.16
sn1999aa-19990421.15-fast_snid,37.31,0.63
sn2007hj-20070914.22-mmt_snid,17.21,0.44
sn2006X-20060226.32-fast_snid,4.85,0.25
sn1998es-19990121.14-fast_snid,36.99,0.58
sn2004L-20040217.35-fast_snid,29.84,0.41
sn1995Y-19950922.41-fast_snid,34.93,0.56
sn2003du-20030508.30-fast_snid,-1.68,0.15
sn1998es-19981219.08-fast_snid,28.52,0.58
sn1997do-19971128.50-fast_snid,15.96,0.39
sn2001V-20010423.22-fast_snid,35.35,0.59
sn2005cf-20050611.32-fast_snid,-2.43,0.19
sn2006H-20060129.13-fast_snid,26.59,0.45
sn2005na-20060122.27-fast_snid,27.92,0.74
sn1994T-19940612.19-fast_snid,0.10,0.18
sn2008A-20080206.13-fast_snid,28.46,0.42
sn2007bm-20070525.17-fast_snid,32.22,0.45
sn2007ca-20070510.23-fast_snid,-0.94,0.15
sn1998bu-19980616.17-fast_snid,30.92,0.43
sn2001G-20010221.28-fast_snid,31.72,0.47
sn2004bg-20040417.19-fast_snid,-1.45,0.15
sn1998bu-19980529.18-fast_snid,8.22,0.18
sn2006H-20060125.16-fast_snid,17.38,0.81
sn2003kf-20031222.39-fast_snid,18.79,0.88
sn2007af-20070625.17-fast_snid,72.25,2.47
snf20080514-002-20080610.21-fast_snid,26.22,0.67
sn2003lc-20040101.12-fast_snid,1.78,0.16
sn2007co-20070616.35-fast_snid,-0.42,0.17
sn2001br-20010714.29-fast_snid,32.75,0.72
sn2002kf-20030111.16-fast_snid,11.30,0.28
sn1999X-19990210.34-fast_snid,20.23,0.58
sn2001az-20010524.43-mmt_snid,24.03,0.87
sn2005cf-20050607.23-fast_snid,-3.42,0.25
